symbol,date,high,low,close,volume,ema50,ema200,rsi,return_1m,return_3m,return_6m,avg_volume_30,volume_expansion
BALRAMCHIN,2026-05-25,539.95,530.3,532.95,213174,,,,,,,,
BANDHANBNK,2026-05-25,199.58,195.2,196.97,11447061,,,,,,,,
BANKBARODA,2026-05-25,273.0,267.3,272.25,11731542,,,,,,,,
BANKINDIA,2026-05-25,146.5,141.15,146.01,12177599,,,,,,,,
BATAINDIA,2026-05-25,703.5,689.4,696.2,136094,,,,,,,,
BAYERCROP,2026-05-25,4445.0,4315.3,4368.8,13507,,,,,,,,
BBTC,2026-05-25,1552.0,1522.2,1546.6,28611,,,,,,,,
BDL,2026-05-25,1331.7,1309.0,1326.1,670808,,,,,,,,
BEL,2026-05-25,422.55,417.3,421.85,8862027,,,,,,,,
BELRISE,2026-05-25,217.5,204.6,210.64,12433776,,,,,,,,
BEML,2026-05-25,1879.9,1814.6,1823.8,322157,,,,,,,,
BERGEPAINT,2026-05-25,511.75,501.8,504.85,222668,,,,,,,,
BHARATFORG,2026-05-25,1942.9,1896.3,1918.3,831690,,,,,,,,
BHARTIARTL,2026-05-25,1892.5,1863.1,1874.8,5903841,,,,,,,,
BHARTIHEXA,2026-05-25,1557.3,1539.3,1547.7,42966,,,,,,,,
BHEL,2026-05-25,420.95,409.95,419.4,11083538,,,,,,,,
BIKAJI,2026-05-25,658.25,635.05,640.5,171883,,,,,,,,
BIOCON,2026-05-25,432.5,427.15,430.05,1976858,,,,,,,,
BLS,2026-05-25,271.85,267.55,269.05,1396114,,,,,,,,
BLUEDART,2026-05-25,4960.0,4865.0,4886.0,8935,,,,,,,,
BLUEJET,2026-05-25,485.15,425.55,481.4,4169890,,,,,,,,
BLUESTARCO,2026-05-25,1681.8,1642.0,1652.3,241058,,,,,,,,
BOSCHLTD,2026-05-25,36760.0,36200.0,36310.0,21720,,,,,,,,
BPCL,2026-05-25,309.0,304.05,308.25,14530864,,,,,,,,
BRIGADE,2026-05-25,683.8,668.0,669.55,149059,,,,,,,,
BRITANNIA,2026-05-25,5370.0,5309.5,5327.0,284971,,,,,,,,
BSE,2026-05-25,4303.0,4215.0,4291.2,2791628,,,,,,,,
BSOFT,2026-05-25,337.25,327.35,330.8,803818,,,,,,,,
CAMS,2026-05-25,781.95,765.15,769.65,1904876,,,,,,,,
CANBK,2026-05-25,134.2,130.0,133.7,27988813,,,,,,,,
CANFINHOME,2026-05-25,849.8,822.1,838.4,445592,,,,,,,,
CANHLIFE,2026-05-25,142.38,139.0,139.52,365991,,,,,,,,
CAPLIPOINT,2026-05-25,2092.5,2033.4,2077.9,160356,,,,,,,,
CARBORUNIV,2026-05-25,1073.7,1053.05,1057.4,73452,,,,,,,,
CARTRADE,2026-05-25,1815.0,1768.6,1789.0,265750,,,,,,,,
CASTROLIND,2026-05-25,183.33,182.08,182.75,523846,,,,,,,,
CCL,2026-05-25,1084.1,1053.1,1059.0,216044,,,,,,,,
CDSL,2026-05-25,1224.0,1212.9,1217.4,1199970,,,,,,,,
CEATLTD,2026-05-25,3360.0,3289.1,3331.3,157605,,,,,,,,
CEMPRO,2026-05-25,897.7,869.65,879.95,497210,,,,,,,,
CENTRALBK,2026-05-25,31.33,31.11,31.27,34693379,,,,,,,,
CESC,2026-05-25,186.49,180.0,185.59,8424081,,,,,,,,
CGCL,2026-05-25,192.99,188.44,189.3,1679289,,,,,,,,
CGPOWER,2026-05-25,884.4,864.8,867.9,2222363,,,,,,,,
CHALET,2026-05-25,808.5,784.3,794.9,91172,,,,,,,,
CHAMBLFERT,2026-05-25,469.5,456.1,463.45,1451716,,,,,,,,
CHENNPETRO,2026-05-25,1043.4,1021.6,1030.6,523407,,,,,,,,
CHOICEIN,2026-05-25,693.4,679.5,689.3,655675,,,,,,,,
CHOLAFIN,2026-05-25,1600.0,1548.5,1591.0,1668255,,,,,,,,
CHOLAHLDNG,2026-05-25,1664.1,1600.1,1624.7,141907,,,,,,,,
CIEINDIA,2026-05-25,465.0,453.95,461.45,331778,,,,,,,,
CIPLA,2026-05-25,1420.0,1398.5,1413.9,668915,,,,,,,,
CLEAN,2026-05-25,763.85,743.0,745.45,303492,,,,,,,,
COALINDIA,2026-05-25,462.55,456.0,458.0,8441223,,,,,,,,
COCHINSHIP,2026-05-25,1557.0,1523.9,1529.0,740059,,,,,,,,
COFORGE,2026-05-25,1415.2,1376.6,1398.0,1369562,,,,,,,,
COHANCE,2026-05-25,440.0,422.0,434.85,1431260,,,,,,,,
COLPAL,2026-05-25,2195.7,2080.6,2097.0,1433773,,,,,,,,
CONCOR,2026-05-25,513.5,506.9,512.05,720289,,,,,,,,
CONCORDBIO,2026-05-25,1180.0,1130.0,1131.9,104877,,,,,,,,
COROMANDEL,2026-05-25,1854.1,1817.6,1841.5,468484,,,,,,,,
CPPLUS,2026-05-25,2602.0,2442.2,2556.1,530738,,,,,,,,
CRAFTSMAN,2026-05-25,8919.0,8625.5,8692.5,33663,,,,,,,,
CREDITACC,2026-05-25,1325.0,1284.7,1303.8,298522,,,,,,,,
CRISIL,2026-05-25,4121.0,4001.0,4026.7,39609,,,,,,,,
CROMPTON,2026-05-25,298.25,292.55,293.5,1618146,,,,,,,,
CUB,2026-05-25,253.05,249.2,249.9,897950,,,,,,,,
CUMMINSIND,2026-05-25,5419.5,5337.5,5382.0,284889,,,,,,,,
CYIENT,2026-05-25,925.0,902.65,918.05,365567,,,,,,,,
DABUR,2026-05-25,455.75,446.25,447.2,879387,,,,,,,,
DALBHARAT,2026-05-25,1844.4,1793.0,1822.6,332543,,,,,,,,
DATAPATTNS,2026-05-25,4148.0,3970.0,4096.0,1081059,,,,,,,,
